,Cr_apfu,Al_apfu,Fe3_apfu
bubble,0.2704492306797299,0.031030811705728634,0.6985199576145413
olivine,0.6033144304001715,0.24657050034210695,0.15011506925772158
plagioclase,0.5489707447258243,0.2793306242553912,0.17169863101878458
pyroxene,0.6021637966822424,0.2861385366163964,0.11169766670136129
silicate,0.572546587951923,0.19636446059313206,0.23108895145494499
sulphide,0.373098395672496,0.16002557978832624,0.4668760245391777
